customer_id,age,gender,city,state,occupation,annual_income,customer_since
1,65,Male,Ahmedabad,Gujarat,Teacher,1489094,7/21/2018
2,36,Male,Lucknow,Uttar Pradesh,Lawyer,575375,10/2/2020
3,55,Male,Lucknow,Uttar Pradesh,Self Employed,640835,8/19/2020
4,67,Male,Hyderabad,Telangana,Self Employed,631413,6/10/2021
5,41,Female,Udaipur,Rajasthan,Teacher,942479,5/2/2018
6,48,Female,Mysuru,Karnataka,Government Employee,1846920,5/17/2023
7,50,Female,Jaipur,Rajasthan,Government Employee,1411061,10/14/2024
8,65,Male,Pune,Maharashtra,Lawyer,314216,5/9/2021
9,33,Male,Nagpur,Maharashtra,Student,1357133,7/10/2019
10,62,Female,Chennai,Tamil Nadu,Private Employee,1906250,3/13/2021
11,44,Female,Jodhpur,Rajasthan,Teacher,2029506,5/21/2021
12,56,Female,Udaipur,Rajasthan,Private Employee,324121,9/9/2018
13,19,Female,Mumbai,Maharashtra,Teacher,2304551,3/7/2026
14,56,Female,Surat,Gujarat,Self Employed,2268963,2/3/2026
15,51,Male,Surat,Gujarat,Lawyer,1407919,10/6/2024
16,29,Male,Udaipur,Rajasthan,Lawyer,2363955,6/2/2019
17,25,Male,Mumbai,Maharashtra,Lawyer,1334119,6/7/2026
18,26,Female,Pune,Maharashtra,Lawyer,762625,5/28/2018
19,50,Female,Ahmedabad,Gujarat,Engineer,599675,2/6/2018
20,44,Male,Nagpur,Maharashtra,Retired,909734,2/13/2020
21,64,Male,Lucknow,Uttar Pradesh,Retired,2059754,10/1/2025
22,36,Female,Ahmedabad,Gujarat,Student,2220333,3/30/2020
23,39,Male,Jaipur,Rajasthan,Retired,1576057,12/17/2023
24,64,Female,Hyderabad,Telangana,Private Employee,667774,6/27/2026
25,49,Female,Mysuru,Karnataka,Doctor,495016,12/1/2023
26,42,Male,Hyderabad,Telangana,Business,757171,2/8/2023
27,54,Female,Ahmedabad,Gujarat,Retired,1488116,11/24/2023
28,35,Female,Mysuru,Karnataka,Business,2014133,9/16/2022
29,20,Female,Jodhpur,Rajasthan,Self Employed,346303,2/22/2019
30,38,Female,Nagpur,Maharashtra,Teacher,2291110,8/28/2019
31,60,Female,Surat,Gujarat,Retired,469369,3/27/2023
32,18,Female,Ahmedabad,Gujarat,Student,1283261,12/24/2020
33,49,Female,Jodhpur,Rajasthan,Retired,993784,7/15/2022
34,59,Female,Hyderabad,Telangana,Government Employee,797458,6/17/2025
35,55,Male,Lucknow,Uttar Pradesh,Engineer,547301,1/12/2019
36,40,Male,Hyderabad,Telangana,Teacher,2252212,11/29/2020
37,25,Male,Mysuru,Karnataka,Student,571110,2/1/2024
38,46,Female,Vadodara,Gujarat,Engineer,2258097,3/5/2024
39,31,Female,Chennai,Tamil Nadu,Lawyer,1887511,2/7/2019
