policy_id,customer_id,policy_type,add_on_cover,vehicle_model,vehicle_make,vehicle_type,fuel_type,vehicle_year,idv,premium_amount
1,730,Third Party,Consumables Cover,Slavia,Skoda,Sedan,Hybrid,2015,603650,21967
2,2141,Own Damage,Engine Protect,Harrier,Tata,Compact SUV,Petrol,2025,1322053,32987
3,364,Comprehensive,Engine Protect,WagonR,Maruti Suzuki,Hatchback,Diesel,2023,1458477,10937
4,2915,Comprehensive,No Add-on,WagonR,Maruti Suzuki,Hatchback,CNG,2015,1798067,27542
5,1227,Own Damage,Roadside Assistance,Innova,Toyota,MUV,Petrol,2020,645963,31685
6,2389,Own Damage,Zero Depreciation,Magnite,Nissan,Compact SUV,Hybrid,2025,1156905,52924
7,1255,Comprehensive,No Add-on,Creta,Hyundai,Compact SUV,Petrol,2025,964386,21977
8,2422,Own Damage,Return to Invoice,Sonet,Kia,Compact SUV,Petrol,2018,1240888,45257
9,1536,Comprehensive,No Add-on,Sonet,Kia,Compact SUV,Petrol,2025,907083,28676
10,831,Comprehensive,Roadside Assistance,Kushaq,Skoda,Sedan,Petrol,2016,1269247,40845
11,2284,Third Party,Roadside Assistance,Sonet,Kia,Compact SUV,CNG,2023,1448379,5823
12,1630,Own Damage,Roadside Assistance,Magnite,Nissan,Compact SUV,Petrol,2017,707152,17355
13,2270,Comprehensive,No Add-on,XUV700,Mahindra,SUV,CNG,2023,118117,15663
14,403,Comprehensive,Zero Depreciation,Fortuner,Toyota,MUV,Electric,2018,444975,18524
15,2318,Own Damage,Zero Depreciation,Safari,Tata,Compact SUV,Petrol,2018,322208,52761
16,1884,Third Party,Engine Protect,Venue,Hyundai,Compact SUV,Petrol,2024,942467,27539
17,627,Own Damage,Consumables Cover,Amaze,Honda,Sedan,Petrol,2016,80901,15122
18,338,Third Party,Engine Protect,City,Honda,Sedan,Electric,2025,825227,51195
19,35,Own Damage,Consumables Cover,Safari,Tata,Compact SUV,Electric,2015,701123,31227
20,2972,Third Party,Zero Depreciation,Kiger,Renault,Compact SUV,Petrol,2024,1773413,51514
21,1918,Comprehensive,Roadside Assistance,Astor,MG,SUV,Petrol,2021,898421,21646
22,140,Comprehensive,Return to Invoice,i20,Hyundai,Compact SUV,Hybrid,2020,607843,58684
23,1715,Own Damage,Engine Protect,Slavia,Skoda,Sedan,Hybrid,2025,1136026,12375
24,717,Third Party,Engine Protect,Baleno,Maruti Suzuki,Hatchback,CNG,2020,843212,35881
