claim_id,policy_id,claim_date,claim_type,claim_amount,amount_approved,claim_status,settlement_days,garage_type
1,1860,12/20/2025,Accidental Damage,74349,6469,Approved,32,Authorized
2,2874,4/19/2026,Total Loss,222899,0,Rejected,58,Cashless Network
3,280,4/24/2026,Own Damage,285783,0,Rejected,20,Authorized
4,1535,2/28/2026,Engine Damage,205551,71221,Approved,62,Local Garage
5,1407,4/23/2026,Flood Damage,334330,0,Pending,63,Multi Brand
6,2245,9/1/2025,Accidental Damage,192970,0,Pending,10,Cashless Network
7,3327,3/22/2026,Glass Damage,95186,76790,Approved,54,Authorized
8,1627,6/24/2026,Own Damage,260652,241926,Approved,1,Local Garage
9,425,1/25/2026,Natural Disaster,343983,69657,Approved,27,Authorized
10,592,1/20/2026,Accidental Damage,60229,0,Rejected,39,Multi Brand
11,3466,2/23/2026,Engine Damage,476637,0,Rejected,64,Cashless Network
12,1035,1/24/2026,Theft Fire Damage,370323,0,Pending,80,Multi Brand
13,2562,6/6/2026,Glass Damage,253133,77238,Approved,3,Multi Brand
14,142,2/23/2026,Accidental Damage,159548,127482,Approved,88,Multi Brand
15,1421,2/12/2026,Glass Damage,375586,348182,Approved,81,Multi Brand
16,424,1/11/2026,Glass Damage,119423,0,Rejected,30,Multi Brand
17,2436,8/7/2025,Glass Damage,36758,0,Pending,21,Local Garage
18,2241,12/2/2025,Engine Damage,403928,0,Pending,82,Cashless Network
19,3783,6/3/2026,Engine Damage,406849,285919,Approved,57,Authorized
20,722,1/23/2026,Own Damage,223792,122240,Approved,37,Authorized
21,954,4/8/2026,Own Damage,478069,370929,Approved,81,Local Garage
22,804,3/28/2026,Engine Damage,117372,85676,Approved,89,Authorized
23,2171,10/17/2025,Theft Fire Damage,208895,0,Rejected,70,Authorized
24,2370,7/27/2025,Flood Damage,478618,327288,Approved,1,Cashless Network
25,2257,7/31/2025,Flood Damage,97085,80733,Approved,24,Authorized
26,3052,1/22/2026,Own Damage,459905,145357,Approved,26,Multi Brand
27,2451,6/9/2026,Total Loss,95285,0,Pending,30,Cashless Network
28,228,7/6/2025,Natural Disaster,271918,0,Rejected,75,Authorized
29,2083,4/4/2026,Own Damage,69632,0,Rejected,84,Local Garage
30,1337,12/1/2025,Own Damage,471602,44448,Approved,61,Cashless Network
31,106,10/21/2025,Engine Damage,134983,0,Pending,73,Cashless Network
32,2475,7/20/2025,Flood Damage,292174,0,Rejected,28,Local Garage
33,59,8/4/2025,Total Loss,284589,0,Pending,69,Cashless Network
34,1703,10/24/2025,Natural Disaster,442111,0,Pending,44,Multi Brand
35,182,2/20/2026,Engine Damage,349200,283239,Approved,89,Local Garage
36,160,3/14/2026,Natural Disaster,418662,0,Pending,86,Local Garage
37,1243,2/26/2026,Theft Fire Damage,20003,19166,Approved,76,Local Garage
38,3444,12/24/2025,Flood Damage,435339,238605,Approved,12,Cashless Network
39,234,11/11/2025,Own Damage,10782,0,Pending,26,Local Garage
40,3680,11/24/2025,Own Damage,193693,80323,Approved,86,Local Garage
41,3126,1/24/2026,Natural Disaster,351284,0,Rejected,37,Authorized
42,1285,8/30/2025,Engine Damage,425768,0,Rejected,13,Multi Brand
43,1815,6/28/2025,Glass Damage,287797,86344,Approved,67,Authorized
44,3682,4/24/2026,Engine Damage,87633,7862,Approved,30,Cashless Network
45,1969,4/20/2026,Glass Damage,252158,68028,Approved,20,Authorized
46,420,10/31/2025,Theft Fire Damage,353252,0,Pending,4,Multi Brand
47,2095,12/3/2025,Own Damage,15961,8609,Approved,13,Cashless Network
48,239,2/20/2026,Theft Fire Damage,215426,0,Pending,61,Multi Brand
49,2363,8/24/2025,Flood Damage,251362,145273,Approved,36,Authorized
50,2661,11/19/2025,Flood Damage,107130,0,Rejected,4,Multi Brand
51,986,4/15/2026,Theft Fire Damage,99937,0,Pending,83,Local Garage
52,106,10/27/2025,Own Damage,227211,0,Pending,27,Cashless Network
53,1235,10/5/2025,Total Loss,235186,0,Pending,62,Cashless Network
54,1430,10/7/2025,Engine Damage,118050,0,Pending,36,Cashless Network
55,3427,10/19/2025,Engine Damage,416176,0,Rejected,30,Authorized
56,721,1/25/2026,Flood Damage,470653,429394,Approved,57,Local Garage
57,3187,7/11/2025,Engine Damage,42981,0,Pending,47,Local Garage
58,1404,9/24/2025,Accidental Damage,392089,89913,Approved,32,Local Garage
59,66,10/24/2025,Flood Damage,445038,0,Pending,84,Multi Brand
60,1018,8/13/2025,Flood Damage,108650,0,Pending,83,Local Garage
61,3005,9/30/2025,Glass Damage,224564,0,Pending,33,Multi Brand
62,779,12/3/2025,Theft Fire Damage,356487,336784,Approved,38,Authorized
63,1539,7/6/2025,Accidental Damage,217314,0,Pending,34,Authorized
64,2478,7/4/2025,Glass Damage,493327,0,Rejected,35,Authorized
65,3357,2/7/2026,Accidental Damage,265135,0,Rejected,7,Local Garage
66,1196,4/19/2026,Accidental Damage,434695,0,Rejected,80,Local Garage
67,840,11/20/2025,Accidental Damage,424953,0,Pending,62,Local Garage
68,1105,11/25/2025,Total Loss,265423,256375,Approved,21,Authorized
69,704,6/9/2026,Accidental Damage,259841,81532,Approved,43,Local Garage
70,2240,1/31/2026,Total Loss,315360,30830,Approved,53,Multi Brand
71,3047,2/18/2026,Glass Damage,412903,0,Rejected,45,Authorized
72,3450,4/14/2026,Flood Damage,477630,0,Pending,14,Multi Brand
73,1418,12/9/2025,Glass Damage,231471,196372,Approved,20,Local Garage
74,3413,6/16/2026,Theft Fire Damage,205432,135942,Approved,54,Cashless Network
75,2427,6/25/2026,Glass Damage,138378,114450,Approved,54,Local Garage
76,3190,8/16/2025,Accidental Damage,275831,0,Rejected,3,Cashless Network
77,462,1/25/2026,Engine Damage,115989,23478,Approved,74,Authorized
78,3692,3/9/2026,Glass Damage,361703,0,Pending,15,Local Garage
79,3485,11/9/2025,Natural Disaster,325587,0,Pending,16,Multi Brand
80,1947,5/9/2026,Natural Disaster,358815,0,Rejected,18,Local Garage
81,3869,2/2/2026,Total Loss,221656,0,Pending,89,Cashless Network
82,2480,8/26/2025,Total Loss,477813,0,Pending,63,Multi Brand
83,3485,10/27/2025,Natural Disaster,93086,0,Rejected,83,Cashless Network
84,838,12/4/2025,Accidental Damage,14622,0,Rejected,56,Cashless Network
85,760,12/1/2025,Glass Damage,63377,0,Rejected,8,Cashless Network
86,2274,10/19/2025,Engine Damage,305106,0,Pending,47,Cashless Network
87,1980,10/21/2025,Glass Damage,417366,0,Rejected,15,Multi Brand
88,1727,11/28/2025,Accidental Damage,225489,0,Rejected,83,Cashless Network
89,3600,7/22/2025,Glass Damage,309656,0,Rejected,26,Multi Brand
90,165,2/6/2026,Own Damage,165604,0,Rejected,26,Multi Brand
91,1815,1/9/2026,Engine Damage,270011,242614,Approved,19,Cashless Network
92,2050,6/16/2026,Glass Damage,253148,92758,Approved,4,Multi Brand
93,2419,7/26/2025,Own Damage,435123,0,Pending,15,Authorized
94,547,2/19/2026,Natural Disaster,218888,0,Pending,60,Authorized
95,1613,9/13/2025,Flood Damage,316987,286742,Approved,15,Authorized
96,1385,8/11/2025,Own Damage,232202,27237,Approved,24,Authorized
97,3896,12/7/2025,Own Damage,77017,0,Pending,80,Cashless Network
98,3056,12/5/2025,Theft Fire Damage,471797,0,Pending,15,Authorized
99,2084,6/9/2026,Total Loss,271992,71168,Approved,2,Cashless Network
100,1879,6/27/2026,Natural Disaster,96303,0,Rejected,67,Authorized
101,482,2/1/2026,Natural Disaster,104279,0,Pending,66,Local Garage
102,3505,8/10/2025,Natural Disaster,165538,0,Rejected,70,Cashless Network
103,2159,11/21/2025,Flood Damage,241681,0,Pending,78,Multi Brand
104,1103,9/1/2025,Own Damage,284995,0,Pending,39,Multi Brand
105,3660,10/2/2025,Own Damage,118023,0,Rejected,32,Local Garage
106,3509,1/6/2026,Natural Disaster,189088,0,Pending,87,Cashless Network
107,85,4/2/2026,Natural Disaster,133723,0,Pending,38,Cashless Network
108,2064,11/24/2025,Engine Damage,253280,154528,Approved,40,Authorized
109,742,10/28/2025,Glass Damage,37106,0,Pending,6,Authorized
110,1228,8/23/2025,Engine Damage,305661,0,Rejected,1,Cashless Network
111,629,6/17/2026,Natural Disaster,254135,20196,Approved,12,Local Garage
112,621,12/9/2025,Flood Damage,391295,0,Pending,41,Multi Brand
113,3250,1/28/2026,Natural Disaster,427324,0,Pending,8,Authorized
114,3778,6/12/2026,Flood Damage,275505,0,Pending,15,Local Garage
115,2059,6/21/2026,Engine Damage,8187,0,Rejected,26,Multi Brand
116,2266,9/22/2025,Flood Damage,472875,199190,Approved,76,Multi Brand
117,1666,8/30/2025,Total Loss,392394,0,Pending,57,Multi Brand
